"SEN","15/02/2026","19","2404.194","569.1943","9.7664","1284.7605","22548.2327","263.8628","351.6644","3725.3903","1528.0022","2467.8546","1222.7104"
"SEN","15/02/2026","20","2515.0777","35.5959","25.3679","1383.9081","23455.5573","253.126","352.0384","4869.834","1528.8048","2548.0392","1214.3548"
"SEN","15/02/2026","21","2653.2709","27.9006","25.8327","1384.8699","23648.4706","260.6176","352.5269","4737.7335","1529.1212","2573.4489","1208.1806"
"SEN","15/02/2026","22","2854.1142","12.1592","25.4865","1386.798","23312.201","262.6548","352.511","4221.48","1530.149","2558.7273","1161.8469"
"SEN","15/02/2026","23","2985.0422","11.0684","25.2556","1174.7139","23135.34","257.2881","352.3161","3187.5513","1529.812","2498.819","1043.0269"
"SEN","15/02/2026","24","2955.0406","8.1266","25.3941","928.7635","22537.7486","259.7143","357.3467","2409.5742","1530.1273","2202.8799","979.361"
"SEN","16/02/2026","1","3067.992","0.7352","25.1083","894.1139","21725.5713","257.9675","364.3367","2164.5161","1530.6043","2166.0577","1159.3614"
"SEN","16/02/2026","2","3030.549","0.0874","21.1845","893.4843","21232.7692","265.0293","364.4647","1582.686","1530.6494","2165.6217","1135.452"
"SEN","16/02/2026","3","3012.136","0.0865","22.6165","891.2982","21293.7656","263.8059","364.4484","1435.5526","866.1446","2164.8622","1134.3974"
"SEN","16/02/2026","4","3085.1122","0.0875","22.0786","892.6366","20750.3791","255.7145","365.0014","1475.2869","764.1716","2166.8747","1131.5575"
"SEN","16/02/2026","5","2909.8214","0.0859","22.7155","891.3607","20754.6397","251.798","364.9372","1795.6805","763.3455","2164.5925","1132.2192"
"SEN","16/02/2026","6","2963.3134","0.089","20.5794","891.9132","21354.0584","241.4742","364.9987","2040.112","763.3092","2236.2517","1152.0363"
"SEN","16/02/2026","7","2896.4421","7.8258","23.539","892.032","22679.0315","244.9791","365.5435","2638.2491","762.6093","2277.6704","1204.4426"
"SEN","16/02/2026","8","2520.6781","240.8319","24.5856","892.9369","23487.881","245.2487","367.0793","3679.388","762.2916","2376.1542","1280.8716"
"SEN","16/02/2026","9","2296.8513","2690.4162","23.6299","956.2618","22708.4066","227.5796","366.607","3544.1996","762.7258","2322.7793","1313.501"
