categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,Unnamed: 29,emision_neta_carbono_negro_t
[5B] Tratamiento biológico de los residuos sólidos,,104770.77,74368.53,,,,,,,,,,,,,,,,,,,,,,,,,179139.299,,
[5C] Incineración y quema a cielo abierto  de residuos,685585.386,1067016.269,217581.309,,,,,,,,,,,,,,,,,,,,,,,,,1970182.964,,1434.393
[5C1] Incineración de residuos peligrosos industriales y biológico infeccioso,104770.765,74368.534,780.499,,,,,,,,,,,,,,,,,,,,,,,,,179919.798,,
[5C2] Quema a cielo abierto de residuos sólidos,580814.621,992647.735,216800.81,,,,,,,,,,,,,,,,,,,,,,,,,1790263.166,,1434.393
[5D] Tratamiento y eliminación de aguas residuales,,17672056.013,4951471.145,,,,,,,,,,,,,,,,,,,,,,,,,22623527.158,,
[5D1] Tratamiento y eliminación de aguas residuales municipales,,4769614.547,3166222.904,,,,,,,,,,,,,,,,,,,,,,,,,7935837.451,,
[5D2] Tratamiento y eliminación de aguas residuales industriales,,12902441.466,1785248.241,,,,,,,,,,,,,,,,,,,,,,,,,14687689.707,,
[5E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (t de CO2e),461013922.875,139923347.259,32942810.37,3784138.996,1882.505,0.0,0.0,0.0,2194032.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,1012.943,565.292,113.313,0.001,40.487,0.001,1024.911,117439.653,639980332.347,,72088.465
Bunkers,3307426.07,637.68,24140.83,,,,,,,,,,,,,,,,,,,,,,,,,3332204.58,,46.82
Aviación internacional,3307426.07,637.68,24140.83,,,,,,,,,,,,,,,,,,,,,,,,,3332204.58,,46.82
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,27778902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27778902.0,,
